burst_id,min_lag,duration_seconds,cluster,predicted_prob_250d_gt20,target_gt20_250d
2021-03-22_2021-03-22 09:07:04-04:00,72.03677083333334,0.0,0.0,4.970037805853804e-63,0
2021-03-22_2021-03-22 09:07:09-04:00,72.03671296296297,0.0,0.0,4.970320997266405e-63,0
2021-03-22_2021-03-22 09:07:14-04:00,72.0366550925926,10.0,3.0,3.476376216487648e-62,0
2021-03-22_2021-03-22 09:07:26-04:00,72.0365162037037,9.0,3.0,3.4797109864004835e-62,0
2021-03-22_2021-03-22 09:07:37-04:00,72.0363888888889,191.0,1.0,1.5848962656266463e-62,0
2021-03-22_2021-03-22 09:10:50-04:00,72.0341550925926,74.0,3.0,3.635913658468223e-62,0
2021-03-22_2021-03-22 09:12:08-04:00,72.03325231481482,15.0,3.0,3.4887728207468108e-62,0
2021-03-22_2021-03-22 09:12:25-04:00,72.03305555555555,66.0,3.0,3.607318272140768e-62,0
2021-03-22_2021-03-22 09:13:33-04:00,72.03226851851852,16.0,3.0,3.5182823975399676e-62,0
2021-03-22_2021-03-22 09:14:07-04:00,72.031875,6.0,0.0,4.990939976555529e-63,0
2021-03-22_2021-03-22 09:14:17-04:00,72.03175925925926,0.0,5.0,1.2857066560334941e-62,0
2021-03-22_2021-03-22 09:14:20-04:00,72.03172453703704,3.0,2.0,2.622408098889048e-62,0
2021-03-22_2021-03-22 09:14:25-04:00,72.03166666666667,8.0,2.0,2.6319939672912595e-62,0
2021-03-22_2021-03-22 09:14:40-04:00,72.03149305555556,1220.0,4.0,1.3984395883406417e-64,0
2021-03-22_2021-03-22 09:35:02-04:00,72.01734953703703,151.0,1.0,4.2407486639570394e-63,0
2021-03-22_2021-03-22 09:37:37-04:00,72.01555555555555,57.0,1.0,2.6427476371869186e-62,0
