start,end,max,count,date,burst_id,cluster,close,close_fwd_1d,return_1d,close_fwd_5d,return_5d,close_fwd_20d,return_20d,close_fwd_60d,return_60d,close_fwd_120d,return_120d,close_fwd_250d,return_250d,close_fwd_360d,return_360d,close_fwd_500d,return_500d,duration_seconds
2021-06-10 10:12:06-04:00,2021-06-10 10:12:06-04:00,283.0,8,2021-06-10,2021-06-10_2021-06-10 10:12:06-04:00,3.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,0.0
2021-06-10 10:12:35-04:00,2021-06-10 10:12:35-04:00,283.0,4,2021-06-10,2021-06-10_2021-06-10 10:12:35-04:00,3.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,0.0
2021-06-11 08:00:01-04:00,2021-06-11 08:00:03-04:00,233.99,467,2021-06-11,2021-06-11_2021-06-11 08:00:01-04:00,3.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,2.0
2021-06-11 08:14:28-04:00,2021-06-11 08:14:28-04:00,233.45,1,2021-06-11,2021-06-11_2021-06-11 08:14:28-04:00,5.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,0.0
2021-06-11 08:25:18-04:00,2021-06-11 08:25:28-04:00,233.45,2,2021-06-11,2021-06-11_2021-06-11 08:25:18-04:00,2.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,10.0
2021-06-11 08:26:14-04:00,2021-06-11 08:27:27-04:00,234.45,17,2021-06-11,2021-06-11_2021-06-11 08:26:14-04:00,3.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,73.0
2021-06-11 08:27:30-04:00,2021-06-11 08:27:35-04:00,234.0,4,2021-06-11,2021-06-11_2021-06-11 08:27:30-04:00,3.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,5.0
2021-06-11 08:27:38-04:00,2021-06-11 08:41:29-04:00,235.96,81,2021-06-11,2021-06-11_2021-06-11 08:27:38-04:00,3.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,831.0
2021-06-11 08:42:02-04:00,2021-06-11 08:42:36-04:00,233.8,4,2021-06-11,2021-06-11_2021-06-11 08:42:02-04:00,0.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,34.0
2021-06-11 08:45:05-04:00,2021-06-11 08:45:07-04:00,233.74,2,2021-06-11,2021-06-11_2021-06-11 08:45:05-04:00,2.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,2.0
2021-06-11 08:57:25-04:00,2021-06-11 08:57:25-04:00,233.94,1,2021-06-11,2021-06-11_2021-06-11 08:57:25-04:00,2.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,0.0
2021-06-11 08:57:32-04:00,2021-06-11 08:57:51-04:00,233.94,3,2021-06-11,2021-06-11_2021-06-11 08:57:32-04:00,0.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,19.0
2021-06-11 08:58:00-04:00,2021-06-11 08:58:23-04:00,233.99,32,2021-06-11,2021-06-11_2021-06-11 08:58:00-04:00,3.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,23.0
2021-06-11 08:58:35-04:00,2021-06-11 08:58:35-04:00,233.98,4,2021-06-11,2021-06-11_2021-06-11 08:58:35-04:00,3.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,0.0
2021-06-11 08:59:06-04:00,2021-06-11 08:59:26-04:00,233.95,5,2021-06-11,2021-06-11_2021-06-11 08:59:06-04:00,3.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,20.0
2021-06-11 08:59:32-04:00,2021-06-11 08:59:32-04:00,233.95,1,2021-06-11,2021-06-11_2021-06-11 08:59:32-04:00,2.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,0.0
2021-06-11 08:59:49-04:00,2021-06-11 09:00:50-04:00,233.95,61,2021-06-11,2021-06-11_2021-06-11 08:59:49-04:00,3.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,61.0
2021-06-11 09:36:16-04:00,2021-06-11 09:36:18-04:00,233.45,146,2021-06-11,2021-06-11_2021-06-11 09:36:16-04:00,3.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,2.0
2021-06-11 09:37:33-04:00,2021-06-11 09:37:47-04:00,234.0,569,2021-06-11,2021-06-11_2021-06-11 09:37:33-04:00,3.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,14.0
2021-06-11 09:37:58-04:00,2021-06-11 09:37:59-04:00,233.389,75,2021-06-11,2021-06-11_2021-06-11 09:37:58-04:00,3.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,1.0
2021-06-11 09:40:24-04:00,2021-06-11 09:40:29-04:00,233.5,150,2021-06-11,2021-06-11_2021-06-11 09:40:24-04:00,3.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,5.0
2021-06-11 09:40:33-04:00,2021-06-11 09:40:35-04:00,233.45,67,2021-06-11,2021-06-11_2021-06-11 09:40:33-04:00,3.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,2.0
2021-06-11 09:40:39-04:00,2021-06-11 09:41:01-04:00,233.6,520,2021-06-11,2021-06-11_2021-06-11 09:40:39-04:00,1.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,22.0
2021-06-11 09:41:04-04:00,2021-06-11 09:41:41-04:00,234.4,928,2021-06-11,2021-06-11_2021-06-11 09:41:04-04:00,1.0,59.275,57.0025,-3.833825390130752,53.45,-9.827077182623356,47.375,-20.07591733445804,49.85,-15.90046393926613,45.625,-23.02825811893715,34.8425,-41.21889498102066,26.16,-55.866722901729226,21.0895,-64.42091944327288,37.0
