burst_id,date,mean_x,mean_y,var_x,var_y,size,cluster
2021-05-28_2021-05-28T09:41:11-04:00,2021-05-28,0.3906554925714286,0.5708398161244616,0.07943265286286698,0.12013762607626245,56,3
2021-05-28_2021-05-28T09:41:26-04:00,2021-05-28,0.47719997999284275,0.5291124849591358,0.09239580370910476,0.051936514176952484,693,1
2021-05-28_2021-05-28T09:43:10-04:00,2021-05-28,0.4280254016,0.5409054772110846,0.09078790454336776,0.048914844087132064,520,3
2021-05-28_2021-05-28T09:44:51-04:00,2021-05-28,0.5438181802666666,0.5828809679529229,0.0849030848584457,0.0688885116871862,40,3
2021-05-28_2021-05-28T09:44:57-04:00,2021-05-28,0.4855704513450995,0.5888353933761127,0.0841617237621165,0.04927418256898198,577,1
2021-05-28_2021-05-28T09:46:27-04:00,2021-05-28,0.46473185558671587,0.6030996045076444,0.09047597242143463,0.013838763564383554,271,3
2021-05-28_2021-05-28T09:46:59-04:00,2021-05-28,0.48162303260444445,0.6904730949801351,0.06674188325340316,0.04634640622883655,75,3
2021-05-28_2021-05-28T09:50:34-04:00,2021-05-28,0.45159439789824796,0.5781628053875013,0.09379864367859579,0.01715656905009748,1642,1
2021-05-28_2021-05-28T09:53:08-04:00,2021-05-28,0.498324816,0.22184679427326537,0.11095845539237262,0.08279014450531245,16,3
2021-05-28_2021-05-28T09:55:48-04:00,2021-05-28,0.4397714512599371,0.6168001577109323,0.07231569551765135,0.03691488141763393,269,3
2021-05-28_2021-05-28T10:03:00-04:00,2021-05-28,0.48132322595966703,0.585096212803155,0.08064260147065698,0.04263555712962024,459,3
2021-05-28_2021-05-28T10:03:41-04:00,2021-05-28,0.4347874844444444,0.6029375737734387,0.10186819270071866,0.11712704373151314,18,3
2021-05-28_2021-05-28T10:03:54-04:00,2021-05-28,0.50235743488,0.556071846934799,0.08020784469575759,0.08464695882637288,60,3
2021-05-28_2021-05-28T10:05:07-04:00,2021-05-28,0.4910431099419034,0.5129440707840952,0.08798819570486222,0.02777895301632461,402,3
2021-06-01_2021-06-01T09:21:32-04:00,2021-06-01,0.12482073599999999,0.5,0.005734125482803198,0.5,2,0
2021-06-01_2021-06-01T09:21:36-04:00,2021-06-01,0.426605344,0.5,0.0977591753370979,0.3333333333333333,4,0
2021-06-01_2021-06-01T09:21:40-04:00,2021-06-01,0.780159232,0.0,,,1,5
2021-06-01_2021-06-01T09:21:48-04:00,2021-06-01,0.204224768,0.0,,,1,2
2021-06-01_2021-06-01T09:21:55-04:00,2021-06-01,0.580812005877551,0.6428571428571429,0.1038290598795173,0.14285714285714285,7,3
2021-06-01_2021-06-01T09:22:05-04:00,2021-06-01,0.5498779969586777,0.5647149460708737,0.08318291866293352,0.13661608907227799,22,3
2021-06-01_2021-06-01T09:22:38-04:00,2021-06-01,0.41369664,0.0,,,1,2
2021-06-01_2021-06-01T10:06:38-04:00,2021-06-01,0.40238144080503147,0.5988662092624362,0.06544069151578319,0.061088423268839336,53,3
2021-06-01_2021-06-01T10:07:26-04:00,2021-06-01,0.44159788680166157,0.5017989281957168,0.07412020354659635,0.04338879907554747,5000,4
2021-06-01_2021-06-01T10:27:17-04:00,2021-06-01,0.4579968449855073,0.5558687451607163,0.06468874359251782,0.031164039584705223,92,3
2021-06-01_2021-06-01T10:27:27-04:00,2021-06-01,0.6171791786666666,0.42816091954025354,0.07161987751203089,0.10694133967499057,6,3
2021-06-01_2021-06-01T10:27:29-04:00,2021-06-01,0.6329109888000001,0.5263378315495328,0.097832151509152,0.18131540590997125,10,3
2021-06-01_2021-06-01T10:29:13-04:00,2021-06-01,0.496506496,0.5547316384180613,0.11048874689860257,0.09684480249883576,12,3
2021-06-01_2021-06-01T10:29:15-04:00,2021-06-01,0.408763392,0.5837479270315818,0.03852618427446067,0.27104114584626143,3,3
2021-06-01_2021-06-01T10:29:17-04:00,2021-06-01,0.43668986168888885,0.5780658436214062,0.10779102903086231,0.06674442791484397,72,3
2021-06-02_2021-06-02T08:00:01-04:00,2021-06-02,0.1873604305882353,0.5869316476590631,0.01190281041723531,0.05170261590238368,272,2
2021-06-02_2021-06-02T09:02:36-04:00,2021-06-02,0.518987776,0.5,0.004835052553437188,0.25,3,3
2021-06-02_2021-06-02T09:02:43-04:00,2021-06-02,0.4277694293333334,0.0,0.08219620195888878,0.0,3,2
2021-06-02_2021-06-02T09:02:56-04:00,2021-06-02,0.43225261056,0.7763157894736875,0.06563259517011041,0.11453524161280464,10,3
2021-06-02_2021-06-02T09:03:13-04:00,2021-06-02,0.163884032,0.0,,,1,2
2021-06-02_2021-06-02T09:03:17-04:00,2021-06-02,0.310516992,0.5000479616306936,0.07188306242981068,0.25000000690095403,3,3
2021-06-02_2021-06-02T09:06:51-04:00,2021-06-02,0.4727557184,0.6123456790123485,0.04987485219260131,0.21609510745313465,5,3
2021-06-02_2021-06-02T09:07:03-04:00,2021-06-02,0.4787761664847833,0.7382874493927082,0.08724792263790343,0.04508815743068594,152,3
2021-06-02_2021-06-02T09:09:32-04:00,2021-06-02,0.508867328,0.0,,,1,5
2021-06-02_2021-06-02T09:09:35-04:00,2021-06-02,0.38785318399999996,0.3333333333333333,0.013703924300136453,0.33333333333333337,3,3
2021-06-02_2021-06-02T09:09:43-04:00,2021-06-02,0.653547264,0.7315789473684301,0.11144621328136056,0.2383379501385098,4,0
2021-06-02_2021-06-02T09:09:46-04:00,2021-06-02,0.284999872,0.5,0.00010602848492748774,0.5,2,0
2021-06-02_2021-06-02T09:09:58-04:00,2021-06-02,0.447323552,0.607812500000002,0.12555834510684294,0.23607747395833245,4,0
2021-06-02_2021-06-02T09:14:40-04:00,2021-06-02,0.381546752,0.0,,,1,2
2021-06-02_2021-06-02T09:14:50-04:00,2021-06-02,0.37882252800000005,0.5,0.0039144005018910705,0.5,2,0
2021-06-02_2021-06-02T09:15:02-04:00,2021-06-02,0.6882836480000001,0.5,0.007930405529321463,0.5,2,0
2021-06-02_2021-06-02T09:15:23-04:00,2021-06-02,0.879780352,0.0,,,1,5
2021-06-02_2021-06-02T09:15:42-04:00,2021-06-02,0.548100864,0.0,,,1,5
2021-06-02_2021-06-02T09:41:24-04:00,2021-06-02,0.4667044251010068,0.5630415696881842,0.09322648307451009,0.0502813736866609,839,1
2021-06-02_2021-06-02T09:42:13-04:00,2021-06-02,0.3833274311111111,0.4625222401776059,0.10354684576609506,0.10069190492379282,18,3
2021-06-02_2021-06-02T09:42:17-04:00,2021-06-02,0.6443953152,0.6791816091953997,0.06165114995885625,0.07082997375006984,15,3
2021-06-02_2021-06-02T09:42:19-04:00,2021-06-02,0.41709024345945944,0.495696465696471,0.05729682361625917,0.09430938485329438,37,3
2021-06-02_2021-06-02T09:42:25-04:00,2021-06-02,0.40269092977777776,0.5419482496194767,0.06700940680719747,0.13987797324909196,9,3
2021-06-02_2021-06-02T09:42:28-04:00,2021-06-02,0.49113998935317826,0.47620301855766894,0.08590728271472146,0.05038174907179164,258,3
2021-06-02_2021-06-02T09:43:11-04:00,2021-06-02,0.5471414271999999,0.5689537387688455,0.10147571784870134,0.0686367371442063,15,3
2021-06-02_2021-06-02T09:43:15-04:00,2021-06-02,0.3480899128888889,0.43750831669992046,0.035701498845278665,0.1383607510527886,9,3
2021-06-02_2021-06-02T09:43:33-04:00,2021-06-02,0.5412945408,0.49452806800070537,0.09156717242169427,0.22469808262881302,5,3
2021-06-02_2021-06-02T09:43:35-04:00,2021-06-02,0.5190579495384615,0.5989478827700294,0.09210517505713717,0.10880255834943231,26,3
2021-06-02_2021-06-02T09:43:40-04:00,2021-06-02,0.6051110684444444,0.5819483224748369,0.05392746166287473,0.11644480063366376,9,3
2021-06-02_2021-06-02T09:43:52-04:00,2021-06-02,0.73249024,0.0,,,1,5
2021-06-02_2021-06-02T09:43:54-04:00,2021-06-02,0.322888768,0.5150273224043699,0.07079778220556138,0.11728736522046872,12,3
2021-06-02_2021-06-02T09:44:18-04:00,2021-06-02,0.4910712390523416,0.5106187232556082,0.08948520994827584,0.02540160010130236,726,1
2021-06-02_2021-06-02T09:45:31-04:00,2021-06-02,0.6429529234285714,0.6159411806027126,0.0833998066507105,0.1398805552325388,7,3
2021-06-02_2021-06-02T09:46:51-04:00,2021-06-02,0.4655156337777778,0.5654864891477,0.08454827680590742,0.05960644164116573,18,3
2021-06-02_2021-06-02T09:46:54-04:00,2021-06-02,0.5505439857777777,0.46678819444443664,0.06804307421958458,0.12008764425041199,18,3
2021-06-02_2021-06-02T09:48:02-04:00,2021-06-02,0.48456621912267067,0.49642189606223314,0.07987361939155552,0.040949348607009,4338,4
2021-06-02_2021-06-02T09:56:09-04:00,2021-06-02,0.6052979694035088,0.5889684210526321,0.09127757886178155,0.13426613450292071,19,3
2021-06-02_2021-06-02T09:56:14-04:00,2021-06-02,0.48902446168368036,0.46461018195746007,0.09073321444064258,0.04416811073024488,486,3
2021-06-02_2021-06-02T09:57:23-04:00,2021-06-02,0.5267643611428572,0.534355624728906,0.08919056186590876,0.12363884890938845,14,3
2021-06-02_2021-06-02T09:57:27-04:00,2021-06-02,0.5137447545396826,0.5335769656699763,0.08093139601291102,0.0777253675445027,84,3
2021-06-02_2021-06-02T09:57:48-04:00,2021-06-02,0.5213861846685148,0.6182755936915537,0.08226762165888238,0.03673200073583774,404,3
2021-06-02_2021-06-02T09:58:40-04:00,2021-06-02,0.505175243655866,0.42219106145251434,0.08393164324326456,0.0619851776724622,179,3
2021-06-02_2021-06-02T09:59:18-04:00,2021-06-02,0.4886525440000001,0.5049833887043238,0.19122538946470435,0.10586159828993531,7,0
2021-06-02_2021-06-02T09:59:20-04:00,2021-06-02,0.426423496,0.5185294117647017,0.12104826458813009,0.05255542099192566,16,3
2021-06-02_2021-06-02T09:59:24-04:00,2021-06-02,0.44548080484848485,0.553965183752409,0.05521159746222064,0.1352668834108425,11,3
2021-06-02_2021-06-02T09:59:29-04:00,2021-06-02,0.5352648777142858,0.4704691950232403,0.11927442387225494,0.1096930391100982,7,3
2021-06-02_2021-06-02T09:59:40-04:00,2021-06-02,0.5148844988715138,0.6101823446493765,0.08116296801938212,0.060709461957063934,1251,1
2021-06-02_2021-06-02T10:02:46-04:00,2021-06-02,0.42797555756521743,0.5465562072927262,0.09267347945564106,0.0946153054580586,23,3
2021-06-02_2021-06-02T10:02:51-04:00,2021-06-02,0.5835331413333333,0.28489247311828714,0.05492479112945773,0.20324039195283464,6,3
2021-06-02_2021-06-02T10:02:54-04:00,2021-06-02,0.6035588388571428,0.4498043052837617,0.08599392379932323,0.12125284204130161,7,3
2021-06-02_2021-06-02T10:03:42-04:00,2021-06-02,0.407200896,0.5613636363636326,0.1393704004543884,0.1916322695603713,4,0
2021-06-02_2021-06-02T10:03:45-04:00,2021-06-02,0.6380584594285714,0.4543421317751438,0.08954217012584838,0.11058382761158346,7,3
2021-06-03_2021-06-03T08:00:01-04:00,2021-06-03,0.8692948550011649,0.3181909082256647,0.03609287921138004,0.01477985075179376,5000,4
2021-06-03_2021-06-03T09:42:23-04:00,2021-06-03,0.46694753066666667,0.30527897668190307,0.06682716321172959,0.06224583293529163,24,3
2021-06-03_2021-06-03T09:43:18-04:00,2021-06-03,0.5374529355294118,0.5895950900685439,0.0651492708988344,0.0536206812185657,34,3
2021-06-03_2021-06-03T09:43:22-04:00,2021-06-03,0.49679568,0.401201171875004,0.1169846867004251,0.08807700925765208,32,3
2021-06-03_2021-06-03T10:04:56-04:00,2021-06-03,0.46038359040000004,0.5091835159746809,0.05325820689155102,0.08244268361511613,55,3
2021-06-03_2021-06-03T10:09:01-04:00,2021-06-03,0.49078146089574043,0.6416334433066383,0.09198072306725319,0.036407513691702725,501,1
2021-06-03_2021-06-03T10:09:57-04:00,2021-06-03,0.465892368,0.5513728776770154,0.09293279814380247,0.10086097443141627,32,3
2021-06-03_2021-06-03T10:11:02-04:00,2021-06-03,0.28879408,0.4919923031379426,0.09844904253451585,0.11908326897122304,8,3
2021-06-03_2021-06-03T10:11:05-04:00,2021-06-03,0.49164805333333333,0.5204217721096968,0.10206323223885921,0.09328960298604173,12,3
2021-06-03_2021-06-03T10:12:31-04:00,2021-06-03,0.23483517155555556,0.5694362729075004,0.09786256964245003,0.1839977074354457,9,3
2021-06-03_2021-06-03T10:29:46-04:00,2021-06-03,0.3754414592,0.3883428571428573,0.025529363428356915,0.27065495510204063,5,3
2021-06-03_2021-06-03T10:29:52-04:00,2021-06-03,0.28119488,0.3342331625183001,0.022200120928337924,0.23367404814877837,6,3
2021-06-03_2021-06-03T10:29:56-04:00,2021-06-03,0.533751296,0.34200429448086855,0.1020541539485745,0.2284648811586462,6,3
2021-06-04_2021-06-04T08:54:08-04:00,2021-06-04,0.3185588,0.6666666666666666,0.09617125106047819,0.33333333333333337,3,0
2021-06-04_2021-06-04T08:55:15-04:00,2021-06-04,0.0011460715789473684,0.0,,,1,2
