start,end,max,count,date
2021-01-25 08:31:18-05:00,2021-01-25 08:31:30-05:00,102.79,29,2021-01-25
2021-01-25 08:31:37-05:00,2021-01-25 08:31:55-05:00,103.0,41,2021-01-25
2021-01-25 08:31:57-05:00,2021-01-25 08:31:58-05:00,102.5,9,2021-01-25
2021-01-25 08:32:00-05:00,2021-01-25 08:36:31-05:00,104.53,495,2021-01-25
2021-01-25 08:36:34-05:00,2021-01-25 08:36:35-05:00,103.0,4,2021-01-25
2021-01-25 09:01:43-05:00,2021-01-25 09:02:04-05:00,103.0,596,2021-01-25
2021-01-25 09:02:06-05:00,2021-01-25 09:02:17-05:00,102.98,374,2021-01-25
2021-01-25 09:02:19-05:00,2021-01-25 09:02:24-05:00,102.85,158,2021-01-25
2021-01-26 08:00:06-05:00,2021-01-26 08:01:55-05:00,94.39,1286,2021-01-26
2021-01-26 08:01:59-05:00,2021-01-26 08:01:59-05:00,90.79,1,2021-01-26
2021-01-26 08:02:02-05:00,2021-01-26 08:02:02-05:00,90.5,1,2021-01-26
2021-01-26 08:02:06-05:00,2021-01-26 08:02:44-05:00,91.0,13,2021-01-26
2021-01-26 08:02:46-05:00,2021-01-26 08:03:58-05:00,91.0,30,2021-01-26
2021-01-26 08:04:00-05:00,2021-01-26 08:04:55-05:00,90.88,20,2021-01-26
2021-01-26 08:05:07-05:00,2021-01-26 08:05:07-05:00,90.5,1,2021-01-26
2021-01-26 08:05:26-05:00,2021-01-26 08:07:16-05:00,91.4,33,2021-01-26
2021-01-26 08:07:27-05:00,2021-01-26 08:08:13-05:00,90.99,19,2021-01-26
2021-01-26 08:17:05-05:00,2021-01-26 08:17:05-05:00,90.71,1,2021-01-26
2021-01-27 08:37:39-05:00,2021-01-27 08:37:54-05:00,275.0,62,2021-01-27
2021-01-27 08:38:31-05:00,2021-01-27 08:38:31-05:00,254.0,2,2021-01-27
2021-01-27 08:38:40-05:00,2021-01-27 08:38:41-05:00,255.72,7,2021-01-27
2021-01-27 08:39:04-05:00,2021-01-27 08:39:18-05:00,273.25,53,2021-01-27
2021-01-27 08:40:05-05:00,2021-01-27 08:40:07-05:00,255.0,7,2021-01-27
2021-01-27 08:40:09-05:00,2021-01-27 08:40:09-05:00,255.0,5,2021-01-27
2021-01-27 08:40:31-05:00,2021-01-27 08:40:45-05:00,275.0,56,2021-01-27
2021-01-27 08:44:09-05:00,2021-01-27 08:44:09-05:00,254.0,6,2021-01-27
2021-01-27 08:44:20-05:00,2021-01-27 08:44:21-05:00,254.82,5,2021-01-27
2021-01-27 08:45:03-05:00,2021-01-27 08:45:15-05:00,275.0,61,2021-01-27
2021-01-27 08:49:30-05:00,2021-01-27 08:49:30-05:00,254.96,4,2021-01-27
2021-01-27 08:49:44-05:00,2021-01-27 08:49:53-05:00,276.0,40,2021-01-27
2021-01-27 08:50:30-05:00,2021-01-27 08:50:30-05:00,254.4999,3,2021-01-27
2021-01-27 08:50:36-05:00,2021-01-27 08:50:36-05:00,254.0,2,2021-01-27
2021-01-27 08:57:10-05:00,2021-01-27 08:57:14-05:00,275.0,18,2021-01-27
2021-01-27 08:57:56-05:00,2021-01-27 08:58:00-05:00,273.53,137,2021-01-27
2021-01-27 09:03:19-05:00,2021-01-27 09:03:20-05:00,260.15,34,2021-01-27
2021-01-27 09:05:14-05:00,2021-01-27 09:05:18-05:00,273.01,61,2021-01-27
2021-01-27 09:05:39-05:00,2021-01-27 09:05:39-05:00,255.0201,17,2021-01-27
2021-01-27 09:05:47-05:00,2021-01-27 09:05:51-05:00,273.43,99,2021-01-27
2021-01-27 09:06:25-05:00,2021-01-27 09:06:29-05:00,268.8001,122,2021-01-27
2021-01-27 09:06:31-05:00,2021-01-27 09:06:31-05:00,255.0,18,2021-01-27
2021-01-27 09:06:54-05:00,2021-01-27 09:06:55-05:00,255.0,47,2021-01-27
2021-01-27 09:07:14-05:00,2021-01-27 09:07:15-05:00,265.0,32,2021-01-27
2021-01-27 09:07:17-05:00,2021-01-27 09:07:18-05:00,268.0,41,2021-01-27
2021-01-27 09:07:41-05:00,2021-01-27 09:07:42-05:00,255.0504,17,2021-01-27
2021-01-27 09:07:51-05:00,2021-01-27 09:07:51-05:00,270.0,26,2021-01-27
2021-01-27 09:08:08-05:00,2021-01-27 09:08:08-05:00,258.69,15,2021-01-27
2021-01-27 09:08:38-05:00,2021-01-27 09:08:38-05:00,256.89,25,2021-01-27
2021-01-27 09:08:40-05:00,2021-01-27 09:08:40-05:00,271.25,7,2021-01-27
2021-01-27 09:08:43-05:00,2021-01-27 09:08:45-05:00,269.44,39,2021-01-27
2021-01-27 09:09:00-05:00,2021-01-27 09:09:00-05:00,255.48,27,2021-01-27
2021-01-27 09:09:06-05:00,2021-01-27 09:09:06-05:00,254.0,30,2021-01-27
2021-01-27 09:09:08-05:00,2021-01-27 09:09:10-05:00,256.98,78,2021-01-27
2021-01-27 09:09:13-05:00,2021-01-27 09:09:14-05:00,260.01,38,2021-01-27
2021-01-27 09:09:17-05:00,2021-01-27 09:09:19-05:00,264.81,65,2021-01-27
2021-01-27 09:09:39-05:00,2021-01-27 09:09:40-05:00,254.0,21,2021-01-27
